text,name_en,name_pr,layer
ImageViewshedsPoly,Image Viewsheds,Imagem Vista,
VisualDocuments,Visual Documents,Documentos Visuais,
creator,Creator,Criador,
occupant,Occupant,Residente,
year,Mapped,Mapeado,
BuiltEnvironment,Built Environment,Meio Ambiente Construído,
firstowner,First Owner,Primeiro Proprietário,
owner,Owner,Proprietário,
PoliticalBoundaries,Political Boundaries,Limites Políticos,
Architecture,Architecture,Arquitetura,
Boundaries,Boundaries,Limites,
Plaza,Plaza,Largo,
Topography,Topography,Topografia,
Urbanism,Urbanism,Urbanismo,
CivilEngineering,Civil Engineering,Engenharia Civil,
LandscapeArchitecture,Landscape Architecture,Paisagismo,
NaturalEnvironment,Natural Environment,Meio Ambiente Natural,
Water,Water,Água,
RoadsLine,Roads,Vias,RoadsLine
Alley,Alleys,Becos,RoadsLine
Avenue,Avenues,Avenidas,RoadsLine
Collector,Collector,Collector,RoadsLine
Expressway,Expressway,Viaduto,RoadsLine
Ladeira,Ladeira,Ladeira,RoadsLine
Local,Local,Local,RoadsLine
Minor Arterial,Minor Arterial,Minor Arterial,RoadsLine
Passage,Passage,Travessa,RoadsLine
Pedestrian,Pedestrian,Pedestrian,RoadsLine
Praia,Praia,Praia,RoadsLine
Principle Arterial,Principle Arterial,Principle Arterial,RoadsLine
Rua,Rua,Rua,RoadsLine
Street,Streets,Raus,RoadsLine
Trail,Trails,Caminhos,RoadsLine
Travessa,Travessa,Travessa,RoadsLine
UtilitiesLine,Utilities,Obras Públicas,UtilitiesLine
Aqueducts,Aqueducts,Aquedutos,UtilitiesLine
Canals,Canals,Canais,UtilitiesLine
Ditches,Ditches,Valas,UtilitiesLine
Pipes/Sewage,Sewage Pipes,Canos de Esgoto,UtilitiesLine
Pipes/Water,Water Pipes,Canos de Água,UtilitiesLine
UtilitiesPoint,Utilities,Obras Públicas,UtilitiesPoint
Fountains,Fountains,Chafarizes,UtilitiesPoint
UtilitiesPoly,UtilitiesPoly,UtilitiesPoly,UtilitiesPoly
Reservoirs,Reservoirs,Reservoirs,UtilitiesPoly
address,Address,Address,
BuildingsPoint,Transportation,Transporte,BuildingsPoint
Transportation/Metro Station,Metro Station,Estação de Metrô,BuildingsPoint
Transportation/Railroad Station,Railroad Station,Estação de Trem,BuildingsPoint
Transportation/Tram Station,Tram Station,Estação de Bonde,BuildingsPoint
BuildingsPoly,Buildings,Edificações,BuildingsPoly
Administrative,Administrative,Administrativas,BuildingsPoly
Administrative Building,Administrative,Administrativas,BuildingsPoly
Commercial,Commercial,Mercantis,BuildingsPoly
Corporate,Corporate,Corporativas,BuildingsPoly
Cultural,Cultural,Culturais,BuildingsPoly
Educational,Educational,Educacionais,BuildingsPoly
Health,Health,Saúde,BuildingsPoly
Military,Military,Militares,BuildingsPoly
Religion,Religious,Religiosas,BuildingsPoly
Religious,Religious,Religiosas,BuildingsPoly
InlandWatersLine,Inland Waters,Hidrologia,InlandWatersLine
Brooks,Brooks,Brooks,InlandWatersLine
Creeks,Creeks,Riachos,InlandWatersLine
Rivers,Rivers,Rios,InlandWatersLine
Streams,Streams,Córregos,InlandWatersLine
InlandWatersPoly,Inland Waters,Hidrologia,InlandWatersPoly
Lagoons,Lagoons,Lagoas,InlandWatersPoly
Marshes,Marshes,Alagadiços,InlandWatersPoly
Ponds,Ponds,Represas,InlandWatersPoly
LandLine,Land,Solo,LandLine
Beaches,Beaches,Praias,LandLine
LandPoly,Land,Solo,LandPoly
NeighborhoodsPoly,Neighborhoods,Bairros,NeighborhoodsPoly
PublicSpacesPoly,Public Spaces,Espaços Público,PublicSpacesPoly
Cemeteries,Cemeteries,Cemitérios,PublicSpacesPoly
Gardens,Gardens,Jardims,PublicSpacesPoly
Parks,Parks,Parques,PublicSpacesPoly
Plazas,Plazas,Largos,PublicSpacesPoly
Polygon,Polygon,Polygon,PublicSpacesPoly
Squares,Squares,Praça,PublicSpacesPoly
